Title,Date added,Template,Vulnerable Population?,Age Range,Named Detainee,Gender,Status,Event 1 Date Range,Event 1 Violations,Event 2 Date Range,Event 2 Violations,Event 3 Date Range,Event 3 Violation,Related Penal Facilities,Province Where the Penal Facility is Located,Penal Facility Affiliation,Related Type of Penal Facility,Documents,Attachments,Published
A1202,21/12/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/05/2005~31/03/2008,"Arbitrary Deprivation of Liberty_A1202|Torture & CID_1_A1202|Torture & CID_3_A1202|Torture & CID_4_A1202|Torture & CID_2_A1202|Torture & CID_6_A1202|Violation of the Right to a Fair Trial_A1202|Torture & CID_5_A1202|Rape & Other Forms of Sexual Violence_A1202|Violation of Right to Health_1_A1202|Violation of Right to Health_3_A1202|Violation of Right to Health_4_A1202|Violation of Right to Health_2_A1202|Violation of Right to Health_5_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1202|Violation of Right to Health_6_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_5_A1202|Violation of Freedom of Expression_1_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_6_A1202|Violation of Freedom of Expression_3_A1202|Violation of Freedom of Expression_2_A1202|Violation of Freedom of Expression_5_A1202|Violation of Freedom of Expression_4_A1202|Violation of Freedom of Expression_6_A1202|Forced Labour_1_A1202|Forced Labour_2_A1202|Forced Labour_3_A1202|Forced Labour_4_A1202",01/10/2008~31/12/2008,"Violation of the Right to Freedom of Conscience, Thought and Religion_9_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_8_A1202|Violation of Right to Health_7_A1202|Violation of Freedom of Expression_8_A1202|Violation of Freedom of Expression_7_A1202|Forced Labour_5_A1202|Forced Labour_6_A1202|Violation of the Right to Freedom of Conscience, Thought and Religion_7_A1202|Violation of Freedom of Expression_9_A1202|Violation of Right to Health_8_A1202|Violation of Right to Health_9_A1202|Torture & CID_8_A1202|Torture & CID_9_A1202|Torture & CID_7_A1202",,,"Onsong County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Onsong County Labour Training Centre|Kaechon Re-education Camp|Tanchon City MPS Detention Centre|Chungsan Re-education Camp","North Hamgyong|North Hamgyong|North Hamgyong|South Pyongan|South Hamgyong|South Pyongan","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea|Ministry of People's Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Holding Centre|Labour Training Centre|Re-education Camp |Detention Centre|Re-education Camp ",,,Published
A1194,15/12/2021,Detainees,N/A,50-59,Named,Male,Released from all facilities,01/01/2006~31/01/2007,"Arbitrary Deprivation of Liberty_A1194|Torture & CID_2_A1194|Torture & CID_3_A1194|Torture & CID_4_A1194|Torture & CID_1_A1194|Violation of the Right to a Fair Trial_A1194|Violation of Right to Health_3_A1194|Violation of Right to Health_4_A1194|Violation of Right to Health_1_A1194|Violation of Right to Health_2_A1194 |Violation of Freedom of Expression_1_A1194|Forced Labour_1_A1194|Violation of the Right to Freedom of Conscience, Thought and Religion_4_A1194 |Forced Labour_2_A1194 |Violation of Freedom of Expression_3_A1194|Violation of Freedom of Expression_2_A1194|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1194 |Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1194 |Violation of Freedom of Expression_4_A1194|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1194",,,,,"Chongori Re-education Camp|Onsong County MSS Detention Centre|Onsong County MPS Detention Centre|Onsong County Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Re-education Camp |Detention Centre|Detention Centre|Labour Training Centre",,,Published
A1199,09/12/2021,Detainees,Women,60-69,Unnamed,Female,Death in custody,01/07/2016~31/12/2016,"Torture & CID_A1199|Violation of the Right to Life_A1199|Violation of Freedom of Expression_A1199|Violation of Right to Health_A1199",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A1198,09/12/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/06/2016~31/12/2016,"Arbitrary Deprivation of Liberty_A1198|Violation of Right to Health_1_A1198|Violation of Right to Health_2_A1198|Violation of Freedom of Expression_1_A1198|Violation of Right to Health_3_A1198|Violation of Freedom of Expression_3_A1198|Violation of the Right to a Fair Trial_A1198|Violation of Freedom of Expression_2_A1198|Forced Labour_A1198|Torture & CID_1_A1198|Torture & CID_2_A1198|Torture & CID_3_A1198|Violation of the Right to Freedom of Conscience, Thought and Religion_A1198",,,,,"Ryanggang Provincial MSS Holding Centre|Ryanggang Provincial MPS Holding Centre|Hyesan City MPS Detention Centre","Ryanggang|Ryanggang|Ryanggang","Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Holding Centre|Holding Centre|Detention Centre",,,Published
A1151,08/12/2021,Detainees,N/A,40-49,Unnamed,Male,Unknown,01/07/2001~31/07/2001,Violation of Right to Health_A1151,01/01/2002~31/12/2002,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1150,08/12/2021,Detainees,N/A,60-69,Unnamed,Male,Death in custody,01/07/2001~31/07/2001,"Violation of the Right to Life_A1150|Violation of Right to Health_A1150",01/01/2002~31/12/2002,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1149,08/12/2021,Detainees,N/A,30-39,Unnamed,Male,Death in custody,01/06/2001~30/06/2001,"Violation of the Right to Life_A1149|Violation of Right to Health_A1149|Violation of the Right to Freedom of Conscience, Thought and Religion_A1149|Violation of Freedom of Expression_A1149",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1148,08/12/2021,Detainees,Women,20-29,Unnamed,Female,Transferred to further penal facility,01/10/2003~31/10/2003,"Arbitrary Deprivation of Liberty_A1148|Violation of the Right to Freedom of Conscience, Thought and Religion_A1148|Violation of Freedom of Expression_A1148|Violation of Right to Health_A1148",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1147,08/12/2021,Detainees,N/A,40-49,Named,Male,Transferred to further penal facility,01/10/2003~31/10/2003,"Arbitrary Deprivation of Liberty_A1147|Violation of Freedom of Expression_A1147|Violation of Right to Health_A1147|Violation of the Right to Freedom of Conscience, Thought and Religion_A1147",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1146,08/12/2021,Detainees,"Children|Women",0-9,Unnamed,Female,Death in custody,01/01/2002~31/12/2002,Violation of the Right to Life_A1146,,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1145,08/12/2021,Detainees,Women,20-29,Unnamed,Female,Unknown,01/01/2002~31/12/2002,"Arbitrary Deprivation of Liberty_A1145|Torture & CID_A1145|Violation of Right to Health_A1145",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1144,08/12/2021,Detainees,Children,0-9,Moniker,Male,Released from all facilities,01/10/2001~31/10/2001,"Arbitrary Deprivation of Liberty_A1144|Violation of the Rights of Children_A1144|Violation of Freedom of Expression_A1144|Violation of the Right to Freedom of Conscience, Thought and Religion_A1144|Violation of Right to Health_1_A1144|Violation of Right to Health_4_A1144|Violation of Right to Health_2_A1144|Violation of Right to Health_3_A1144",,,,,"Onsong County MSS Detention Centre|Musan County MSS Detention Centre|Musan County MPS Detention Centre|Musan County Kangson-gu MPS Sub-municipal Station Office (Cholsong)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Detention Centre|Detention Centre|Temporary Detention Facility::Office",,,Published
A1143,08/12/2021,Detainees,Women,20-29,Named,Female,Unknown,01/10/2003~31/10/2003,"Rape & Other Forms of Sexual Violence_A1143|Violation of the Right to Freedom of Conscience, Thought and Religion_A1143|Violation of Freedom of Expression_A1143|Violation of Right to Health_A1143",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1167,07/12/2021,Detainees,Women,20-29,Unnamed,Female,Unknown,01/01/2010~31/01/2010,"Arbitrary Deprivation of Liberty_A1167|Violation of Right to Health_A1167|Violation of Freedom of Expression_A1167",,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1166,07/12/2021,Detainees,Women,30-39,Unnamed,Female,Unknown,01/03/2010~31/05/2010,"Violation of Right to Health_A1166|Arbitrary Deprivation of Liberty_A1166|Violation of Freedom of Expression_A1166",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1165,07/12/2021,Detainees,Women,20-29,Unnamed,Female,Unknown,01/01/2010~31/01/2010,"Arbitrary Deprivation of Liberty_A1165|Violation of Right to Health_A1165|Violation of Freedom of Expression_A1165",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1164,07/12/2021,Detainees,Women,20-29,Unnamed,Female,Unknown,01/01/2010~31/01/2010,"Arbitrary Deprivation of Liberty_A1164|Violation of Freedom of Expression_A1164|Violation of Right to Health_A1164",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1163,07/12/2021,Detainees,Women,20-29,Unnamed,Female,Death in custody,01/03/2010~31/05/2010,"Violation of the Right to Life_A1163|Violation of Right to Health_A1163|Violation of Freedom of Expression_A1163",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1162,07/12/2021,Detainees,Women,40-49,Named,Female,Death in custody,01/01/2010~31/05/2010,"Arbitrary Deprivation of Liberty_A1162|Violation of the Right to Life_A1162|Violation of Freedom of Expression_A1162|Violation of Right to Health_A1162",,,,,"North Hamgyong Provincial MPS Holding Centre (Nongpo)|Onsong County MSS Detention Centre","North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of State Security","Holding Centre|Detention Centre",,,Published
A1161,07/12/2021,Detainees,Women,30-39,Named,Female,Unknown,01/01/2010~31/01/2010,"Arbitrary Deprivation of Liberty_A1161|Rape & Other Forms of Sexual Violence_A1161|Torture & CID_A1161|Violation of Freedom of Expression_A1161",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A1160,07/12/2021,Detainees,Women,20-29,Unnamed,Female,Released from all facilities,01/03/2010~31/05/2010,"Arbitrary Deprivation of Liberty_A1160|Violation of Right to Health_A1160|Violation of Freedom of Expression_A1160|Forced Labour_A1160",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1159,07/12/2021,Detainees,Women,30-39,Partially named,Female,Released from all facilities,01/03/2010~31/05/2010,"Arbitrary Deprivation of Liberty_A1159|Violation of Right to Health_A1159|Violation of Freedom of Expression_A1159|Forced Labour_A1159",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A0223,07/12/2021,Detainees,"Children|Women",10-19,Unnamed,Female,Unknown,01/10/2012~31/12/2012,"Violation of the Rights of Children_A0223|Violation of Freedom of Expression_A0223|Violation of Right to Health_A0223",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0222,07/12/2021,Detainees,"Women|Children",10-19,Unnamed,Female,Unknown,01/10/2012~31/12/2012,"Violation of the Rights of Children_A0222|Violation of Freedom of Expression_A0222|Violation of Right to Health_A0222",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A0221,07/12/2021,Detainees,Women,20-29,Unnamed,Female,Death in custody,01/10/2012~31/12/2012,"Violation of the Right to Life_A0221|Violation of Right to Health_A0221|Violation of Freedom of Expression_A0221",,,,,Ryanggang Provincial MPS Holding Centre,Ryanggang,Ministry of People's Security,Holding Centre,,,Published
A1179,07/12/2021,Detainees,N/A,30-39,Unnamed,Male,Executed,01/01/2003~31/12/2003,"Arbitrary Deprivation of Liberty_A1179|Violation of the Right to Life_A1179",,,,,Pukchang County Political Prison Camp No.18 ,South Pyongan,Ministry of People's Security,Political Prison Camp,,,Published
A1182,07/12/2021,Detainees,"Women|Detainees with Disabilities ",20-29,Unnamed,Female,Unknown,01/05/2009~31/08/2009,"Violation of the Rights of Detainees with Disabilities_A1182|Forced Labour_A1182|Violation of Freedom of Expression_A1182|Violation of Right to Health_A1182",,,,,Musan County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1181,07/12/2021,Detainees,N/A,60-69,Unnamed,Male,Death in custody,01/08/2009~30/06/2010,"Violation of the Right to Life_A1181|Violation of Freedom of Expression_A1181|Violation of Right to Health_A1181",,,,,Chongjin City Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
A1180,07/12/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/03/2009~30/06/2010,"Rape & Other Forms of Sexual Violence_1_A1180|Rape & Other Forms of Sexual Violence_2_A1180|Rape & Other Forms of Sexual Violence_3_A1180|Violation of Right to Health_1_A1180|Violation of the Right to a Fair Trial_A1180|Arbitrary Deprivation of Liberty_A1180|Torture & CID_1_A1180|Violation of Right to Health_2_A1180|Torture & CID_2_A1180|Violation of Right to Health_3_A1180|Violation of Freedom of Expression_3_A1180|Violation of Freedom of Expression_1_A1180|Violation of Freedom of Expression_2_A1180|Forced Labour_A1180",,,,,"Musan County MPS Detention Centre|Musan County Labour Training Centre|Chongjin City Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|People's Committee of North Korea|People's Committee of North Korea","Detention Centre|Labour Training Centre|Labour Training Centre",,,Published
A1158,02/12/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/01/2010~30/06/2010,"Arbitrary Deprivation of Liberty_A1158|Violation of Right to Health_3_A1158|Violation of Right to Health_2_A1158|Violation of Freedom of Expression_2_A1158|Violation of Freedom of Expression_1_A1158|Violation of Freedom of Expression_5_A1158|Violation of Freedom of Expression_4_A1158|Violation of Right to Health_1_A1158|Violation of Freedom of Expression_6_A1158|Violation of Right to Health_4_A1158|Violation of Right to Health_5_A1158|Violation of the Right to a Fair Trial_A1158|Rape & Other Forms of Sexual Violence_1_A1158|Forced Labour_A1158|Torture & CID_1_A1158|Rape & Other Forms of Sexual Violence_2_A1158|Violation of Freedom of Expression_3_A1158|Torture & CID_2_A1158|Torture & CID_4_A1158|Torture & CID_3_A1158",,,,,"Onsong County MPS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Onsong County Labour Training Centre|Onsong County MSS Detention Centre|Kyongsong County MPS Detention Centre|Kyongsong County Kkotjebi Relief Station","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of People's Security|Ministry of People's Security|People's Committee of North Korea|Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Holding Centre|Labour Training Centre|Detention Centre|Detention Centre|Temporary Detention Facility::Kkotjebi Relief Station",,,Published
A1142,02/12/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/06/2001~31/08/2001,"Violation of Right to Health_4_A1142|Rape & Other Forms of Sexual Violence_10_A1142|Violation of Freedom of Expression_1_A1142|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1142|Violation of Right to Health_1_A1142|Violation of Right to Health_2_A1142|Arbitrary Deprivation of Liberty_1_A1142|Violation of Right to Health_3_A1142|Rape & Other Forms of Sexual Violence_1_A1142|Rape & Other Forms of Sexual Violence_2_A1142|Torture & CID_1_A1142|Torture & CID_2_A1142|Torture & CID_3_A1142|Torture & CID_4_A1142",01/10/2001~31/10/2001,"Arbitrary Deprivation of Liberty_2_A1142|Violation of Freedom of Expression_2_A1142|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1142|Torture & CID_5_A1142|Torture & CID_7_A1142|Torture & CID_6_A1142|Rape & Other Forms of Sexual Violence_5_A1142|Rape & Other Forms of Sexual Violence_6_A1142|Rape & Other Forms of Sexual Violence_4_A1142|Violation of Right to Health_5_A1142|Violation of Right to Health_6_A1142|Violation of Right to Health_7_A1142|Violation of Right to Health_8_A1142",01/01/2002~31/12/2002,"Arbitrary Deprivation of Liberty_3_A1142|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1142|Violation of Freedom of Expression_3_A1142|Violation of Right to Health_9_A1142|Violation of Right to Health_11_A1142|Violation of Right to Health_10_A1142|Forced Labour_1_A1142|Rape & Other Forms of Sexual Violence_7_A1142|Forced Labour_2_A1142|Rape & Other Forms of Sexual Violence_8_A1142|Torture & CID_10_A1142|Torture & CID_8_A1142|Torture & CID_9_A1142","Musan County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Onsong County MSS Detention Centre|Onsong County Labour Training Centre|Musan County MPS Detention Centre|Musan County Kangson-gu MPS Sub-municipal Station Office (Cholsong)","North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|Ministry of State Security|People's Committee of North Korea|Ministry of People's Security|Ministry of People's Security","Detention Centre|Holding Centre|Detention Centre|Labour Training Centre|Detention Centre|Temporary Detention Facility::Office",,,Published
A1140,02/12/2021,Detainees,Women,50-59,Unnamed,Female,Death in custody,15/02/2003~31/10/2005,"Violation of the Right to Life_A1140|Forced Labour_A1140|Violation of Freedom of Expression_A1140|Violation of Right to Health_A1140",,,,,Oro Re-education Camp ,South Hamgyong,Ministry of People's Security,Re-education Camp ,,,Published
A1139,02/12/2021,Detainees,Women,50-59,Unnamed,Female,Death in custody,15/02/2003~31/10/2005,"Violation of the Right to Life_A1139|Violation of Freedom of Expression_A1139|Violation of Right to Health_A1139|Forced Labour_A1139",,,,,Oro Re-education Camp ,South Hamgyong,Ministry of People's Security,Re-education Camp ,,,Published
A1138,02/12/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/01/2003~31/10/2005,"Arbitrary Deprivation of Liberty_A1138|Torture & CID_2_A1138|Torture & CID_1_A1138|Torture & CID_3_A1138|Torture & CID_4_A1138|Rape & Other Forms of Sexual Violence_2_A1138|Violation of the Right to a Fair Trial_A1138|Violation of Right to Health_1_A1138|Rape & Other Forms of Sexual Violence_3_A1138|Rape & Other Forms of Sexual Violence_1_A1138|Violation of Right to Health_3_A1138|Violation of Freedom of Expression_2_A1138|Rape & Other Forms of Sexual Violence_4_A1138|Violation of Freedom of Expression_1_A1138|Violation of the Right to Freedom of Conscience, Thought and Religion_A1138|Violation of Freedom of Expression_3_A1138|Violation of Right to Health_2_A1138|Forced Labour_1_A1138|Violation of Freedom of Expression_4_A1138|Forced Labour_2_A1138|Sexual and Gender-based Violence_1_A1138|Sexual and Gender-based Violence_2_A1138|Sexual and Gender-based Violence_3_A1138|Sexual and Gender-based Violence_4_A1138",,,,,"Musan County MPS Detention Centre|North Pyongan Provincial MPS Holding Centre |North Pyongan Provincial MSS Detention Centre|Oro Re-education Camp ","North Hamgyong|North Pyongan|North Pyongan|South Hamgyong","Ministry of People's Security|Ministry of People's Security|Ministry of State Security|Ministry of People's Security","Detention Centre|Holding Centre|Detention Centre|Re-education Camp ",,,Published
A0435,02/12/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/04/2001~30/06/2001,"Torture & CID_1_A0435|Torture & CID_2_A0435|Arbitrary Deprivation of Liberty_A0435|Torture & CID_3_A0435|Violation of the Right to a Fair Trial_A0435|Violation of the Right to Freedom of Conscience, Thought and Religion_2_A0435|Violation of the Right to Freedom of Conscience, Thought and Religion_3_A0435|Violation of Right to Health_1_A0435|Violation of Right to Health_3_A0435|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A0435|Violation of Right to Health_2_A0435|Violation of Freedom of Expression_1_A0435|Violation of Freedom of Expression_2_A0435|Forced Labour_1_A0435|Violation of Freedom of Expression_3_A0435|Forced Labour_2_A0435|Forced Labour_3_A0435",,,,,"Onsong County MSS Detention Centre|North Hamgyong Provincial MPS Holding Centre (Nongpo)|Onsong County Labour Training Centre","North Hamgyong|North Hamgyong|North Hamgyong","Ministry of State Security|Ministry of People's Security|People's Committee of North Korea","Detention Centre|Holding Centre|Labour Training Centre",,,Published
A1029,02/12/2021,Detainees,Women,60-69,Named,Female,Released from all facilities,01/09/2001~30/06/2002,"Arbitrary Deprivation of Liberty_A1029|Torture & CID_2_A1029|Torture & CID_1_A1029|Torture & CID_3_A1029|Violation of Right to Health_1_A1029 |Violation of Right to Health_3_A1029|Violation of Right to Health_2_A1029 |Violation of the Right to a Fair Trial_A1029|Violation of Freedom of Expression_1_A1029|Violation of Freedom of Expression_2_A1029|Violation of Freedom of Expression_3_A1029|Violation of the Right to Freedom of Conscience, Thought and Religion_1_A1029 |Violation of the Right to Freedom of Conscience, Thought and Religion_2_A1029 |Violation of the Right to Freedom of Conscience, Thought and Religion_3_A1029",,,,,"Onsong County MSS Detention Centre|Pyongyang City National MSS Detention Centre|North Hamgyong Provincial MSS Detention Centre ","North Hamgyong|Pyongyang|North Hamgyong","Ministry of State Security|Ministry of State Security|Ministry of State Security","Detention Centre|Detention Centre|Detention Centre",,,Published
A0932,01/12/2021,Detainees,"Women|Children",10-19,Partially named,Female,Released from all facilities,01/08/2000~10/08/2000,"Arbitrary Deprivation of Liberty_A0932|Violation of Freedom of Expression_A0932|Violation of Right to Health_A0932",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0931,01/12/2021,Detainees,Women,40-49,Moniker,Female,Released from all facilities,01/08/2000~10/08/2000,"Arbitrary Deprivation of Liberty_A0931|Violation of Freedom of Expression_A0931|Violation of Right to Health_A0931",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0930,01/12/2021,Detainees,Women,40-49,Named,Female,Released from all facilities,01/08/2000~10/08/2000,"Arbitrary Deprivation of Liberty_A0930|Violation of Freedom of Expression_A0930|Violation of Right to Health_A0930",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0929,01/12/2021,Detainees,Women,20-29,Named,Female,Released from all facilities,01/08/2000~10/08/2000,"Arbitrary Deprivation of Liberty_A0929|Violation of Freedom of Expression_A0929|Violation of Right to Health_A0929",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0928,01/12/2021,Detainees,N/A,20-29,Named,Male,Released from all facilities,01/08/2000~10/08/2000,"Arbitrary Deprivation of Liberty_A0928|Violation of Freedom of Expression_A0928|Violation of Right to Health_A0928",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0927,01/12/2021,Detainees,Women,20-29,Named,Female,Unknown,01/02/2000~29/02/2000,"Arbitrary Deprivation of Liberty_A0927|Violation of Right to Health_A0927|Violation of Freedom of Expression_A0927",,,,,Onsong County MSS Detention Centre,North Hamgyong,Ministry of State Security,Detention Centre,,,Published
A0926,01/12/2021,Detainees,N/A,30-39,Named,Male,Unknown,01/08/2000~10/08/2000,"Arbitrary Deprivation of Liberty_A0926|Violation of Right to Health_A0926|Violation of Freedom of Expression_A0926",,,,,North Pyongan Provincial MSS Detention Centre,North Pyongan,Ministry of State Security,Detention Centre,,,Published
A0925,01/12/2021,Detainees,Women,20-29,Named,Female,Released from all facilities,01/02/2000~08/02/2000,"Arbitrary Deprivation of Liberty_1_A0925|Violation of Freedom of Expression_1_A0925|Violation of Right to Health_1_A0925|Rape & Other Forms of Sexual Violence_1_A0925|Torture & CID_1_A0925",01/08/2000~31/08/2000,"Arbitrary Deprivation of Liberty_2_A0925|Violation of Freedom of Expression_2_A0925|Violation of Right to Health_2_A0925|Rape & Other Forms of Sexual Violence_2_A0925|Torture & CID_2_A0925|Violation of the Right to a Fair Trial_A0925|Forced Labour_A0925",01/08/2001~31/08/2001,"Arbitrary Deprivation of Liberty_3_A0925|Violation of Freedom of Expression_3_A0925|Violation of the Right to Freedom of Conscience, Thought and Religion_A0925|Violation of Right to Health_3_A0925|Torture & CID_3_A0925","Onsong County MSS Detention Centre|North Pyongan Provincial MPS Holding Centre |North Pyongan Provincial MSS Detention Centre","North Hamgyong|North Pyongan|North Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of State Security","Detention Centre|Holding Centre|Detention Centre",,,Published
A0950,01/12/2021,Detainees,N/A,40-49,Unnamed,Male,Death in custody,01/03/2003~30/06/2003,"Violation of the Right to Life_A0950 |Violation of Right to Health_A0950|Violation of Freedom of Expression_A0950|Torture & CID_A0950 |Violation of the Right to Freedom of Conscience, Thought and Religion_A0950|Forced Labour_A0950",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A0949,01/12/2021,Detainees,"Women|Pregnant Women",20-29,Unnamed,Female,Unknown,01/03/2003~30/06/2003,"Torture & CID_A0949|Violation of Right to Health_A0949|Violation of Freedom of Expression_A0949|Forced Labour_A0949|Violation of the Right to Freedom of Conscience, Thought and Religion_A0949|Sexual and Gender-based Violence_A0949",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A0948,01/12/2021,Detainees,"Pregnant Women|Women",30-39,Unnamed,Female,Unknown,01/03/2003~30/06/2003,"Violation of Freedom of Expression_A0948|Violation of Right to Health_A0948|Forced Labour_A0948|Torture & CID_A0948|Violation of the Right to Freedom of Conscience, Thought and Religion_A0948|Sexual and Gender-based Violence_A0948",,,,,North Hamgyong Provincial MPS Holding Centre (Nongpo),North Hamgyong,Ministry of People's Security,Holding Centre,,,Published
A1135,01/12/2021,Detainees,Women,40-49,Unnamed,Female,Death in custody,30/04/2006~28/02/2007,"Violation of the Right to Life_A1135|Forced Labour_A1135|Violation of Right to Health_A1135|Violation of Freedom of Expression_A1135",,,,,Chungsan Re-education Camp,South Pyongan,Ministry of People's Security,Re-education Camp ,,,Published
A1134,01/12/2021,Detainees,Women,30-39,Named,Female,Released from all facilities,01/09/2005~28/02/2007,"Violation of Right to Health_1_A1134|Violation of Right to Health_2_A1134|Arbitrary Deprivation of Liberty_A1134|Torture & CID_1_A1134|Torture & CID_2_A1134|Rape & Other Forms of Sexual Violence_A1134|Violation of the Right to a Fair Trial_A1134|Violation of Right to Health_3_A1134|Torture & CID_3_A1134|Violation of the Right to Freedom of Conscience, Thought and Religion_A1134|Violation of Freedom of Expression_1_A1134|Violation of Freedom of Expression_2_A1134|Forced Labour_1_A1134|Forced Labour_2_A1134",,,,,"Hoeryong City MSS Detention Centre|Kaechon Re-education Camp|Chungsan Re-education Camp","North Hamgyong|South Pyongan|South Pyongan","Ministry of State Security|Ministry of People's Security|Ministry of People's Security","Detention Centre|Re-education Camp |Re-education Camp ",,,Published
A1133,01/12/2021,Detainees,Children,0-9,Unnamed,Male,Unknown,15/11/2003~30/04/2004,"Violation of the Rights of Children_A1133|Violation of Freedom of Expression_A1133|Violation of Right to Health_A1133",,,,,Onsong County Labour Training Centre,North Hamgyong,People's Committee of North Korea,Labour Training Centre,,,Published
